"","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team"
"349","11","Jrue Holiday","PG","6-4",205,"June 12 1990","5","University of California Los Angeles","Pelicans"
"350","24","Gal Mekel","PG","6-3",191,"March 4 1988","1","Wichita State University","Pelicans"
"351","2","Darius Miller","SF","6-8",235,"March 21 1990","2","University of Kentucky","Pelicans"
"352","20","Quincy Pondexter","SF","6-7",220,"March 10 1988","4","University of Washington","Pelicans"
"353","25","Austin Rivers","SG","6-4",200,"August 1 1992","2","Duke University","Pelicans"
"354","15","John Salmons","SF","6-7",210,"December 12 1979","12","University of Miami","Pelicans"
"355","9","Russ Smith","PG","6-0",165,"April 19 1991","R","University of Louisville","Pelicans"
"356","2","Elliot Williams","SG","6-5",190,"June 20 1989","2","University of Memphis","Pelicans"
"357","5","Jeff Withey","C","7-0",231,"March 7 1990","1","University of Kansas","Pelicans"
"358","4","Nate Wolters","PG","6-4",190,"May 15 1991","1","South Dakota State University","Pelicans"
"359","19","Furkan Aldemir","PF","6-10",240,"August 9 1991","R","","76ers"
"360","0","Isaiah Canaan","PG","6-0",201,"May 21 1991","1","Murray State University","76ers"
"361","1","Michael Carter-Williams","PG","6-6",190,"October 10 1991","1","Syracuse University","76ers"
"362","33","Robert Covington","SF","6-9",215,"December 14 1990","1","Tennessee State University","76ers"
"363","0","Brandon Davies","PF","6-10",240,"July 25 1991","1","Brigham Young University","76ers"
"364","7","Larry Drew","PG","6-2",180,"March 5 1990","R","University of California Los Angeles","76ers"
"365","20","Tim Frazier","PG","6-1",170,"November 1 1990","R","Pennsylvania State University","76ers"
"366","30","Drew Gordon","PF","6-9",245,"July 12 1990","R","University of New Mexico","76ers"
"367","39","Jerami Grant","SF","6-8",210,"March 12 1994","R","Syracuse University","76ers"
"368","16","Chris Johnson","SF","6-6",206,"April 29 1990","2","University of Dayton","76ers"
"369","11","Malcolm Lee","SG","6-5",200,"May 22 1990","2","University of California Los Angeles","76ers"
"370","12","Luc Mbah a Moute","PF","6-8",230,"September 9 1986","6","University of California Los Angeles","76ers"
"371","14","K.J. McDaniels","SG","6-6",205,"February 9 1993","R","Clemson University","76ers"
"372","1","JaVale McGee","C","7-0",270,"January 19 1988","6","University of Nevada Reno","76ers"
"373","4","Nerlens Noel","C","6-11",228,"April 10 1994","R","University of Kentucky","76ers"
"374","23","Jason Richardson","SG","6-6",220,"January 20 1981","12","Michigan State University","76ers"
"375","1","Glenn Robinson III","SF","6-7",222,"January 8 1994","R","University of Michigan","76ers"
"376","41","Thomas Robinson","PF","6-10",237,"March 17 1991","2","University of Kansas","76ers"
"377","9","JaKarr Sampson","SF","6-9",214,"March 20 1993","R","St. John's University","76ers"
"378","88","Alexey Shved","SG","6-6",190,"December 16 1988","2","","76ers"
"379","35","Henry Sims","C","6-10",248,"March 27 1990","2","Georgetown University","76ers"
"380","5","Ish Smith","PG","6-0",175,"July 5 1988","4","Wake Forest University","76ers"
"381","11","Malcolm Thomas","PF","6-9",225,"November 8 1988","3","San Diego State University","76ers"
"382","31","Hollis Thompson","SG","6-8",206,"April 3 1991","1","Georgetown University","76ers"
"383","8","Tony Wroten","SG","6-6",205,"April 13 1993","2","University of Washington","76ers"
"384","50-50-50-50-50-50-50-50-50-50-50","Joel Anthony","C","6-9",245,"August 9 1982","7","University of Nevada Las Vegas","Pistons"
"385","14","D.J. Augustin","PG","6-0",183,"November 10 1987","6","University of Texas at Austin","Pistons"
"386","31","Caron Butler","SF","6-7",228,"March 13 1980","12","University of Connecticut","Pistons"
"387","5","Kentavious Caldwell-Pope","SG","6-5",205,"February 18 1993","1","University of Georgia","Pistons"
"388","13","Luigi Datome","SF","6-8",215,"November 27 1987","1","","Pistons"
"389","8","Spencer Dinwiddie","PG","6-6",200,"April 6 1993","R","University of Colorado","Pistons"
