"","College","Longitude","Latitude"
"403","Los Angeles Pierce College",-118.577194,34.184184
"404","Los Angeles Southwest College",-118.304674,33.929586
"405","Los Angeles Trade Technical College",-118.269113,34.032623
"406","Los Angeles Valley College",-118.421446,34.176406
"407","The Master's College and Seminary",-118.517422,34.38214
"408","Los Angeles City College",-118.292169,34.087301
"409","Los Angeles County College of Nursing and Allied Health",-118.211418,34.061605
"410","Los Angeles Mission College",-118.419087,34.314944
"411","Los Medanos College",-121.861122,38.005552
"412","Los Rios Community College District Office",-121.417145,38.579859
"413","The Art Institute of California-Argosy University San Francisco",-122.417185,37.803958
"414","Loyola Marymount University",-118.415655,33.970633
"415","Lu Ross Academy",-119.293952,34.278034
"416","Manchester Beauty College",-119.79116,36.792868
"417","Tulare Beauty College",-119.367947,36.204102
"418","Lyles Bakersfield College of Beauty",-119.023903,35.386525
"419","Lyles Fresno College of Beauty",-119.773747,36.836251
"420","Lytles Redwood Empire Beauty College Inc",-122.758546,38.508581
"421","MTI Business College Inc",-121.308527,38.007318
"422","MTI College",-121.342568,38.661377
"423","Kaplan College-Sacramento",-121.380453,38.644462
"424","Kaplan College-San Diego",-117.133017,32.821707
"425","Kaplan College-Vista",-117.220816,33.17244
"426","College of Marin",-122.549936,37.955014
"427","Marinello Schools of Beauty-Los Angeles",-118.219865,34.027512
"428","Marymount California University",-118.333404,33.73463
"429","Mendocino College",-123.22903,39.19119
"430","Menlo College",-122.181444,37.452906
"431","Merced College",-120.476726,37.335348
"432","Merritt College",-122.167335,37.789088
"433","Mills College",-122.18789,37.782639
"434","MiraCosta College",-117.302283,33.191231
"435","Marinello Schools of Beauty-San Francisco",-122.411072,37.781587
"436","Mission College",-121.982174,37.391323
"437","Modern Beauty Academy",-119.181423,34.195384
"438","Kaplan College-North Hollywood",-118.396131,34.182673
"439","Modesto Junior College",-121.009723,37.652042
"440","Moler Barber College",-122.265094,37.826826
"441","Monterey Institute of International Studies",-121.896813,36.599827
"442","Monterey Peninsula College",-121.885774,36.590826
"443","Moorpark College",-118.836624,34.300018
"444","Mt San Antonio College",-117.8437,34.043786
"445","Mount Saint Mary's University",-118.480471,34.082112
"446","Mt San Jacinto Community College District",-116.970063,33.807364
"447","Mueller College",-117.163741,32.76457
"448","Musicians Institute",-118.337685,34.101497
"449","Napa Valley College",-122.272565,38.27254
"450","Everest College-Reseda",-118.526677,34.200824
"451","Everest College-Gardena",-118.292896,33.893072
"452","Everest College-Alhambra",-118.148684,34.080181
"453","Everest College-San Bernardino",-117.28222,34.059754
"454","The National Hispanic University",-121.815921,37.359057
"455","National Holistic Institute",-122.287672,37.841898
"456","National University",-117.244243,32.909469
"457","Naval Postgraduate School",-121.874248,36.597159
"458","Newschool of Architecture and Design",-117.153305,32.71331
"459","Newberry School of Beauty",-118.499469,34.25748
"460","Adrian's College of Beauty Modesto",-120.992753,37.677778
"461","North Orange County Community College District",-117.945559,33.849957
"462","North-West College-Pomona",-117.751861,34.06203
"463","North-West College-West Covina",-117.949583,34.072071
"464","North-West College-Pasadena",-118.139266,34.146907
"465","Northwestern Polytechnic University",-121.925457,37.47857
"466","Notre Dame de Namur University",-122.284618,37.517501
"467","Occidental College",-118.210783,34.126224
"468","Oceanside College of Beauty",-117.365276,33.178889
"469","Ohlone College",-121.914597,37.527956
"470","Orange Coast College",-117.911401,33.670171
"471","Otis College of Art and Design",-118.416615,33.956607
"472","Oxnard College",-119.15549,34.164899
"473","Hope International University",-117.88573,33.87616
"474","Concorde Career College-San Diego",-117.10187,32.70406
"475","Palo Alto University",-122.186022,37.383251
"476","Pacific Lutheran Theological Seminary",-122.260201,37.898172
"477","Pacific Oaks College",-118.15158,34.153088
"478","Pacific School of Religion",-122.263331,37.876599
"479","Pacific States University",-118.299841,34.0607
"480","Pacific Union College",-122.449639,38.57409
"481","University of the Pacific",-121.307296,37.980624
