"","Player","Team","Salary","Position"
"251","Austin Rivers","Los Angeles Clippers",2439840,"PG"
"252","Shelvin Mack","Atlanta Hawks",2433333,"PG"
"253","C.J. McCollum","Portland Trail Blazers",2421000,"SG"
"255","Elfrid Payton","Orlando Magic",2397840,"PG"
"256","Tobias Harris","Orlando Magic",2380594,"SF"
"257","Meyers Leonard","Portland Trail Blazers",2317920,"PF"
"258","Michael Carter-Williams","Philadelphia 76ers",2300040,"PG"
"259","Doug McDermott","Chicago Bulls",2277960,"SF"
"260","Kenneth Faried","Denver Nuggets",2249768,"PF"
"261","Nick Collison","Oklahoma City Thunder",2242003,"PF"
"262","Brendan Haywood","Cleveland Cavaliers",2213668,"C"
"263","Reggie Jackson","Oklahoma City Thunder",2204369,"PG"
"264","Jeremy Lamb","Oklahoma City Thunder",2202000,"SG"
"266","Steven Adams","Oklahoma City Thunder",2184960,"C"
"267","Vitor Faverani","Boston Celtics",2090000,"C"
"268","Ramon Sessions","Washington Wizards",2077000,"PG"
"269","Beno Udrih","Memphis Grizzlies",2077000,"PG"
"270","Josh Smith","Houston Rockets",2077000,"C"
"271","C.J. Watson","Indiana Pacers",2077000,"PG"
"272","Aron Baynes","San Antonio Spurs",2077000,"C"
"273","Kelly Olynyk","Boston Celtics",2075760,"C"
"274","Zach LaVine","Minnesota Timberwolves",2055840,"PG"
"275","Norris Cole","Miami Heat",2038206,"PG"
"277","Cory Joseph","San Antonio Spurs",2023261,"PG"
"278","Jimmy Butler","Chicago Bulls",2008748,"SG"
"279","DeJuan Blair","Washington Wizards",2e+06,"C"
"280","John Salmons","New Orleans Pelicans",2e+06,"SF"
"281","Kent Bazemore","Atlanta Hawks",2e+06,"SF"
"282","John Henson","Milwaukee Bucks",1987320,"PF"
"283","Shabazz Muhammad","Minnesota Timberwolves",1971960,"SF"
"284","T.J. Warren","Phoenix Suns",1953120,"SF"
"285","Maurice Harkless","Orlando Magic",1887840,"SF"
"286","Giannis Antetokounmpo","Milwaukee Bucks",1873200,"SF"
"288","Adreian Payne","Minnesota Timberwolves",1855320,"PF"
"289","Jeff Ayres","San Antonio Spurs",1828750,"PF"
"290","Anthony Randolph","Orlando Magic",1825359,"SF"
"291","Jeremy Evans","Utah Jazz",1794871,"SF"
"292","Joffrey Lauvergne","Denver Nuggets",1790281,"C"
"293","Reggie Evans","Sacramento Kings",1768653,"C"
"294","Lucas Nogueira","Toronto Raptors",1762680,"C"
"295","Jusuf Nurkic","Denver Nuggets",1762680,"C"
"296","Luigi Datome","Detroit Pistons",1750000,"SF"
"297","Zoran Dragic","Phoenix Suns",1706225,"SG"
"299","Tyler Zeller","Boston Celtics",1703760,"C"
"300","Dennis Schroder","Atlanta Hawks",1690680,"PG"
"301","James Young","Boston Celtics",1674480,"SG"
"302","Pablo Prigioni","New York Knicks",1662961,"PG"
"303","Ryan Kelly","Los Angeles Lakers",1650000,"PF"
"304","Terrence Jones","Houston Rockets",1618680,"PF"
"305","Shane Larkin","New York Knicks",1606080,"PG"
"306","Tyler Ennis","Phoenix Suns",1590720,"PG"
"307","Andrew Nicholson","Orlando Magic",1545840,"PF"
"308","Sergey Karasev","Brooklyn Nets",1533840,"SG"
"310","Gary Harris","Denver Nuggets",1519200,"SG"
"311","Ronny Turiaf","Minnesota Timberwolves",1500000,"C"
"312","Miroslav Raduljica","Minnesota Timberwolves",1500000,"C"
"313","Evan Fournier","Orlando Magic",1483920,"SF"
"314","Donatas Motiejunas","Houston Rockets",1483920,"PF"
"315","Tony Snell","Chicago Bulls",1472400,"SF"
"316","Bruno Caboclo","Toronto Raptors",1458360,"SF"
"317","Scotty Hopson","Sacramento Kings",1450878,"SG"
"318","Willie Green","Orlando Magic",1448490,"SG"
"319","Lamar Odom","New York Knicks",1448490,"PF"
"321","Mike James","Chicago Bulls",1448490,"PG"
"322","Jared Sullinger","Boston Celtics",1424520,"C"
"323","Gorgui Dieng","Minnesota Timberwolves",1413480,"C"
"324","Mitch McGary","Oklahoma City Thunder",1400040,"PF"
"325","Victor Claver","Portland Trail Blazers",1370000,"PF"
"326","Mason Plumlee","Brooklyn Nets",1357080,"C"
"327","Jordan Adams","Memphis Grizzlies",1344120,"SG"
"328","Melvin Ely","Washington Wizards",1316809,"C"
"329","John Jenkins","Atlanta Hawks",1312920,"SG"
"330","Josh Powell","Milwaukee Bucks",1310286,"PF"
