"","Player","Team","Salary","Position"
"304","Terrence Jones","Houston Rockets","$1,618,680","PF"
"305","Shane Larkin","New York Knicks","$1,606,080","PG"
"306","Tyler Ennis","Phoenix Suns","$1,590,720","PG"
"307","Andrew Nicholson","Orlando Magic","$1,545,840","PF"
"308","Sergey Karasev","Brooklyn Nets","$1,533,840","SG"
"310","Gary Harris","Denver Nuggets","$1,519,200","SG"
"311","Ronny Turiaf","Minnesota Timberwolves","$1,500,000","C"
"312","Miroslav Raduljica","Minnesota Timberwolves","$1,500,000","C"
"313","Evan Fournier","Orlando Magic","$1,483,920","SF"
"314","Donatas Motiejunas","Houston Rockets","$1,483,920","PF"
"315","Tony Snell","Chicago Bulls","$1,472,400","SF"
"316","Bruno Caboclo","Toronto Raptors","$1,458,360","SF"
"317","Scotty Hopson","Sacramento Kings","$1,450,878","SG"
"318","Willie Green","Orlando Magic","$1,448,490","SG"
"319","Lamar Odom","New York Knicks","$1,448,490","PF"
"321","Mike James","Chicago Bulls","$1,448,490","PG"
"322","Jared Sullinger","Boston Celtics","$1,424,520","C"
"323","Gorgui Dieng","Minnesota Timberwolves","$1,413,480","C"
"324","Mitch McGary","Oklahoma City Thunder","$1,400,040","PF"
"325","Victor Claver","Portland Trail Blazers","$1,370,000","PF"
"326","Mason Plumlee","Brooklyn Nets","$1,357,080","C"
"327","Jordan Adams","Memphis Grizzlies","$1,344,120","SG"
"328","Melvin Ely","Washington Wizards","$1,316,809","C"
"329","John Jenkins","Atlanta Hawks","$1,312,920","SG"
"330","Josh Powell","Milwaukee Bucks","$1,310,286","PF"
"332","Ronnie Brewer","Chicago Bulls","$1,310,286","SF"
"333","Solomon Hill","Indiana Pacers","$1,302,840","SF"
"334","Rodney Hood","Utah Jazz","$1,290,360","SG"
"335","Alan Anderson","Brooklyn Nets","$1,276,061","SG"
"336","Tim Hardaway Jr.","New York Knicks","$1,250,640","SG"
"337","Hasheem Thabeet","Detroit Pistons","$1,250,000","C"
"338","Pero Antic","Atlanta Hawks","$1,250,000","PF"
"339","Shabazz Napier","Miami Heat","$1,238,640","PG"
"340","Aaron Gray","Detroit Pistons","$1,227,985","C"
"341","Shawne Williams","Miami Heat","$1,227,985","SF"
"343","Shavlik Randolph","Phoenix Suns","$1,227,985","PF"
"344","Tony Wroten","Philadelphia 76ers","$1,210,080","SG"
"345","Reggie Bullock","Phoenix Suns","$1,200,720","SF"
"346","Clint Capela","Houston Rockets","$1,189,200","C"
"347","Miles Plumlee","Phoenix Suns","$1,169,880","C"
"348","Andre Roberson","Oklahoma City Thunder","$1,160,880","SG"
"349","P.J. Hairston","Charlotte Hornets","$1,149,720","SF"
"350","Brandon Rush","Golden State Warriors","$1,145,685","SG"
"351","Hilton Armstrong","Golden State Warriors","$1,145,685","PF"
"352","Cartier Martin","Detroit Pistons","$1,145,685","PF"
"354","Arnett Moultrie","New York Knicks","$1,136,160","PF"
"355","Perry Jones","Oklahoma City Thunder","$1,129,200","SF"
"356","Rudy Gobert","Utah Jazz","$1,127,400","C"
"357","Marquis Teague","Philadelphia 76ers","$1,120,920","PG"
"358","Festus Ezeli","Golden State Warriors","$1,112,880","C"
"359","Archie Goodwin","Phoenix Suns","$1,112,280","SG"
"360","C.J. Wilcox","Los Angeles Clippers","$1,109,760","SG"
"361","Nemanja Nedovic","Golden State Warriors","$1,104,240","PG"
"362","Damjan Rudez","Indiana Pacers","$1,100,000","SF"
"363","Kyle Anderson","San Antonio Spurs","$1,093,680","SF"
"365","Kyle Singler","Oklahoma City Thunder","$1,090,000","SF"
"366","Xavier Henry","Los Angeles Lakers","$1,082,000","SG"
"367","Robert Covington","Philadelphia 76ers","$1,000,000","SF"
